id,sentence,tags
1,Ik heb geen tv Abel en Rhana hebben een date.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Negation:Geen"
2,Rhana gaat bij Abel eten.,Syntax:Declarative
3,"Abel Zo, het eten is klaar hoor.","Syntax:Declarative, Modality:Particle:Hoor"
4,Ik heb vegetarische pasta gemaakt.,"Syntax:Declarative, Verb:Tense:Perfectum"
5,Ik hoop dat het lekker is.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
6,"Rhana O, nou dat ziet er lekker uit.","Syntax:Declarative, Syntax:Connectivity:Subordinate, Pronoun:Quantitative/Locative-Er, Modality:Particle:Nou"
7,"Abel Uh ja, ik eet eigenlijk altijd op de bank.",Syntax:Declarative
8,Vind je dat oké?,"Syntax:Interrogative, Syntax:WordOrder:V1-Inversion, Syntax:Connectivity:Subordinate"
9,"Rhana Ja, dat is prima.","Syntax:Declarative, Syntax:Connectivity:Subordinate"
10,Gezellig.,Syntax:Declarative
11,"Abel Zullen we iets kijken, een serie ofzo?","Syntax:Interrogative, Verb:Cluster:Auxiliary/Modal"
12,"Rhana Ja, leuk.",Syntax:Declarative
13,Abel Waar hou je van?,Syntax:Interrogative
14,"Rhana Nou, ik kijk meestal naar het journaal.","Syntax:Declarative, Modality:Particle:Nou"
15,"Het is bijna acht uur, dus het begint zo.","Syntax:Declarative, Verb:Tense:Perfectum"
16,Abel Oké...,Syntax:Declarative
17,"Ik dacht meer aan iets spannends, met actie.",Syntax:Declarative
18,Ik volg nu een serie.,Syntax:Declarative
19,Murder's Mansion is de titel.,Syntax:Declarative
20,Ken je die?,Syntax:Interrogative
21,Die is echt súpergoed.,Syntax:Declarative
22,Die moet je absoluut zien.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
23,Rhana Nee die ken ik niet.,"Syntax:Declarative, Modality:Negation:Niet"
24,Waar gaat het over?,Syntax:Interrogative
25,"Abel Ja, het is een thriller over dode mensen die weer gaan leven.","Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
26,Met super veel bloed en actie.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
27,Het is echt heel tof om te kijken.,"Syntax:Declarative, Verb:Cluster:Te-Infinitive"
28,"Rhana Oké, maar zullen we misschien iets gezelligs kijken?","Syntax:Interrogative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal, Modality:Particle:Maar"
29,Ik hou niet zo van series met bloed tijdens het eten.,"Syntax:Declarative, Modality:Negation:Niet"
30,"Abel Ja, sorry.",Syntax:Declarative
