id,sentence,tags
1,Ik heb geen tv Abel en Rhana hebben een date.,SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | NEGATION.geen | CONNECTOR.en-additive | TOPIC.Media-entertainment
2,Rhana gaat bij Abel eten.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.gaan-inf | TOPIC.Daily-life
3,"Abel Zo, het eten is klaar hoor.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PARTICLE.hoor | SYNTAX.Inversion-V2 | TOPIC.Daily-life
4,Ik heb vegetarische pasta gemaakt.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | TOPIC.Daily-life
5,Ik hoop dat het lekker is.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | NP.Demonstrative | PRONOUN.Relative-clause | SYNTAX.Subordinate-clause
6,"Rhana O, nou dat ziet er lekker uit.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERB.Separable-verb | NP.Demonstrative | PARTICLE.nou | SYNTAX.Subordinate-clause | DISCOURSE.Backchannel-opener
7,"Abel Uh ja, ik eet eigenlijk altijd op de bank.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | NP.Noun-compound | PRONOUN.1sg | PARTICLE.eigenlijk | DISCOURSE.Backchannel-opener | TOPIC.Daily-life
8,Vind je dat oké?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.2sg-informal | SYNTAX.Subordinate-clause | DISCOURSE.Informal-register
9,"Rhana Ja, dat is prima.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.Relative-clause | SYNTAX.Subordinate-clause | DISCOURSE.Backchannel-opener
10,Gezellig.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens
11,"Abel Zullen we iets kijken, een serie ofzo?",SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.1pl | PRONOUN.Indefinite | TOPIC.Media-entertainment
12,"Rhana Ja, leuk.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | DISCOURSE.Backchannel-opener
13,Abel Waar hou je van?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.2sg-informal | DISCOURSE.Informal-register
14,"Rhana Nou, ik kijk meestal naar het journaal.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PRONOUN.1sg | PARTICLE.nou | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment
15,"Het is bijna acht uur, dus het begint zo.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | CONNECTOR.dus-consecutive
16,Abel Oké...,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | DISCOURSE.Backchannel-opener
17,"Ik dacht meer aan iets spannends, met actie.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Imperfectum | NP.Adjective-comparative | PRONOUN.Indefinite
18,Ik volg nu een serie.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | TOPIC.Media-entertainment
19,Murder's Mansion is de titel.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De
20,Ken je die?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.2sg-informal | DISCOURSE.Informal-register
21,Die is echt súpergoed.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PARTICLE.echt-intensifier | DEGREE.Intensifier
22,Die moet je absoluut zien.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.moeten | VERBCLUSTER.modal-inf | PRONOUN.2sg-informal | PARTICLE.absoluut | MODALITY.Deontic-obligation | DISCOURSE.Informal-register
23,Rhana Nee die ken ik niet.,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.1sg | NEGATION.niet
24,Waar gaat het over?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | VERB.Separable-verb | ARTICLE.Het
25,"Abel Ja, het is een thriller over dode mensen die weer gaan leven.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Futurum-gaan | ARTICLE.Het | NP.Demonstrative | PRONOUN.Relative-clause | DISCOURSE.Backchannel-opener | TOPIC.Nature-environment
26,Met super veel bloed en actie.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | DEGREE.Intensifier | CONNECTOR.en-additive
27,Het is echt heel tof om te kijken.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | CONNECTOR.om-te-purpose | PARTICLE.echt-intensifier | DEGREE.Intensifier | TOPIC.Media-entertainment
28,"Rhana Oké, maar zullen we misschien iets gezelligs kijken?",SENTENCE_TYPE.Yes-no-question | TENSE.Futurum-zullen | MODAL.zullen | VERBCLUSTER.modal-inf | PRONOUN.1pl | PRONOUN.Indefinite | PARTICLE.maar | MODALITY.Epistemic-adverbial | CONNECTOR.maar-adversative | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment
29,Ik hou niet zo van series met bloed tijdens het eten.,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | ARTICLE.Het | NEGATION.niet | TOPIC.Daily-life
30,"Abel Ja, sorry.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | DISCOURSE.Backchannel-opener
31,Je hebt gelijk.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens
32,Waarvan hou jüj dan?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens
33,Wat kijk jüj meestal?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | DISCOURSE.Backchannel-opener
34,Rhana Ik kijk eigenlijk niet zo veel tv.,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | PARTICLE.eigenlijk | NEGATION.niet | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment
35,Ik heb ook geen tv.,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | NEGATION.geen | TOPIC.Media-entertainment
36,Soms kijk ik online wat programma's terug die ik heb gemist.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | NP.Demonstrative | PRONOUN.1sg | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment
37,"Meestal kijk ik het journaal, een talkshow, of een documentaire.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PRONOUN.1sg | CONNECTOR.of-alternative | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment
38,Een quiz vind ik soms ook wel leuk.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | PARTICLE.wel | TOPIC.Media-entertainment
39,"Maar ik kijk eigenlijk vooral programma's van de NPO, niet van andere zenders.",SENTENCE_TYPE.Negative-declarative | TENSE.Presens | ARTICLE.De | PRONOUN.1sg | PARTICLE.eigenlijk | NEGATION.niet | TOPIC.Media-entertainment
40,"En ik heb ook geen abonnement of zo, om series te kijken.",SENTENCE_TYPE.Negative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | PRONOUN.1sg | NEGATION.geen | CONNECTOR.of-alternative | TOPIC.Media-entertainment | TOPIC.Finance-admin
41,"Abel Oké, maar kijk je dan ook nooit een film?",SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.2sg-informal | PARTICLE.maar | NEGATION.nooit | CONNECTOR.maar-adversative | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment
42,"Rhana Ja, soms wel in de bioscoop.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | PARTICLE.wel | DISCOURSE.Backchannel-opener | TOPIC.Media-entertainment | TOPIC.Travel-leisure
43,Abel Maar je kijkt geen series?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.2sg-informal | NEGATION.geen | DISCOURSE.Informal-register
