id,sentence,score,learning_value,tags
824,Halverwege het jaar kunt u dus niet op een andere verzekering overstappen.,131,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Formal U register (official contexts),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | VERB.Separable-verb | ARTICLE.Het | PRONOUN.2sg-formal-u | NEGATION.niet | MODALITY.Epistemic-kan | CONNECTOR.dus-consecutive | DISCOURSE.Formal-register-u | TOPIC.Health | TOPIC.Finance-admin
222,"Hij heeft me een maand geleden al een keer gevraagd: 'Mag mijn hond bij je logeren?' Ik heb toen gezegd: 'Sorry, ik kan niet, want ik ben dit weekend niet thuis'.",130,Perfect tense (exam essential); Negation pattern; Modal verb (2); Negation: niet; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.kunnen | MODAL.mogen | VERBCLUSTER.modal-inf | NP.Demonstrative | NP.Noun-compound | PRONOUN.1sg | PRONOUN.2sg-informal | PARTICLE.al | NEGATION.niet | MODALITY.Deontic-permission | MODALITY.Epistemic-kan | CONNECTOR.want-causal | DISCOURSE.Informal-register | TOPIC.Daily-life | TOPIC.Travel-leisure
818,"Als u over uw zorgverzekering niet tevreden bent, kunt u overstappen.",127,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Formal U register (official contexts),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | VERB.Separable-verb | PRONOUN.2sg-formal-u | NEGATION.niet | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u | TOPIC.Health
236,Of zeg dat je voor een examen moet studeren en dat je geen tijd hebt.,125,Perfect tense (exam essential); Negation pattern; Modal verb (1); Negation: geen; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.moeten | VERBCLUSTER.modal-inf | NP.Demonstrative | PRONOUN.2sg-informal | PRONOUN.Relative-clause | NEGATION.geen | MODALITY.Deontic-obligation | SYNTAX.Subordinate-clause | CONNECTOR.en-additive | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener | TOPIC.Education
1131,"Ze zijn zacht en schoon, maar je hoeft ze niet de hele dag te verzorgen.",125,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | ARTICLE.De | PRONOUN.2sg-informal | PRONOUN.3sg-masc | PRONOUN.3pl | PARTICLE.maar | NEGATION.niet | NEGATION.hoeven-neg | CONNECTOR.en-additive | CONNECTOR.maar-adversative | DISCOURSE.Informal-register
217,"Je moet het niet doen, als je geen zin hebt.",124,Perfect tense (exam essential); Negation pattern; Modal verb (1); Negation: niet; Negation: geen,SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.moeten | VERBCLUSTER.modal-inf | ARTICLE.Het | PRONOUN.2sg-informal | NEGATION.niet | NEGATION.geen | MODALITY.Deontic-obligation | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register
777,Studeren en werken Is het thuis niet stil en wilt u rustig werken?,124,Present tense (most frequent); Question form (conversation); Modal verb (1); Negation: niet; Formal U register (official contexts),SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | ARTICLE.Het | NP.Noun-compound | PRONOUN.2sg-formal-u | NEGATION.niet | CONNECTOR.en-additive | DISCOURSE.Formal-register-u | TOPIC.Daily-life
499,"Rafael Ja, ik wil je zo snel mogelijk bezoeken, maar ik moet eerst voor de vliegtickets sparen.",119,Present tense (most frequent); Modal verb (2); Informal register (daily conversation); 1st person singular; 2nd person informal (je),SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.moeten | MODAL.willen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.1sg | PRONOUN.2sg-informal | PARTICLE.maar | MODALITY.Deontic-obligation | MODALITY.Epistemic-adverbial | CONNECTOR.maar-adversative | CONNECTOR.Temporal-sequence | DISCOURSE.Informal-register | TOPIC.Travel-leisure | TOPIC.Finance-admin
782,"Als u geen laptop hebt, kunt u één uur per dag een computer van de bibliotheek gebruiken.",119,Perfect tense (exam essential); Negation pattern; Modal verb (1); Negation: geen; Formal U register (official contexts),SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.2sg-formal-u | NEGATION.geen | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u
181,Wanneer bent u vrij en wanneer is de school van uw kinderen dicht?,118,Present tense (most frequent); Wh-question (information seeking); Formal U register (official contexts); 2nd person formal (U); Topic: Education,SENTENCE_TYPE.Wh-question | TENSE.Presens | VERB.Separable-verb | ARTICLE.De | PRONOUN.2sg-formal-u | DEGREE.Moderate-intensifier | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.en-additive | DISCOURSE.Formal-register-u | TOPIC.Education | TOPIC.Relationships-family
