id,sentence,tags
1,Ik heb geen tv Abel en Rhana hebben een date.,
2,Rhana gaat bij Abel eten.,
3,"Abel Zo, het eten is klaar hoor.",
4,Ik heb vegetarische pasta gemaakt.,
5,Ik hoop dat het lekker is.,
6,"Rhana O, nou dat ziet er lekker uit.",
7,"Abel Uh ja, ik eet eigenlijk altijd op de bank.",
8,Vind je dat oké?,
9,"Rhana Ja, dat is prima.",
10,Gezellig.,
11,"Abel Zullen we iets kijken, een serie ofzo?",
12,"Rhana Ja, leuk.",
13,Abel Waar hou je van?,
14,"Rhana Nou, ik kijk meestal naar het journaal.",
15,"Het is bijna acht uur, dus het begint zo.",
16,Abel Oké...,
17,"Ik dacht meer aan iets spannends, met actie.",
18,Ik volg nu een serie.,
19,Murder's Mansion is de titel.,
20,Ken je die?,
21,Die is echt súpergoed.,
22,Die moet je absoluut zien.,
23,Rhana Nee die ken ik niet.,
24,Waar gaat het over?,
25,"Abel Ja, het is een thriller over dode mensen die weer gaan leven.",
26,Met super veel bloed en actie.,
27,Het is echt heel tof om te kijken.,
28,"Rhana Oké, maar zullen we misschien iets gezelligs kijken?",
29,Ik hou niet zo van series met bloed tijdens het eten.,
30,"Abel Ja, sorry.",
31,Je hebt gelijk.,
32,Waarvan hou jüj dan?,
33,Wat kijk jüj meestal?,
34,Rhana Ik kijk eigenlijk niet zo veel tv.,
35,Ik heb ook geen tv.,
36,Soms kijk ik online wat programma's terug die ik heb gemist.,
37,"Meestal kijk ik het journaal, een talkshow, of een documentaire.",
38,Een quiz vind ik soms ook wel leuk.,
39,"Maar ik kijk eigenlijk vooral programma's van de NPO, niet van andere zenders.",
40,"En ik heb ook geen abonnement of zo, om series te kijken.",
41,"Abel Oké, maar kijk je dan ook nooit een film?",
42,"Rhana Ja, soms wel in de bioscoop.",
43,Abel Maar je kijkt geen series?,
44,"Er zijn echt zó veel goede series, echt allerlei verschillende soorten.",
45,"Er zijn series over politiek, drama, comedy's, misdaadseries, romantische series, soapseries, echt gebeurde verhalen.",
46,Van alles.,
47,Dat doe ik echt het liefst in het weekend: alleen op de bank hangen en series kijken.,
48,Dan kijk ik vaak vier of vijf afleveringen achter elkaar.,
49,Dat vind ik ideaal voor zondagmiddag.,
50,"Rhana Hm, waarom vind je dat zo leuk?",
51,"Ik bedoel, het lijkt me wel leuk hoor.",
52,"Maar het is niet echt actief ofzo, of sociaal.",
53,Ik vind het een beetje zonde van mijn tijd om de hele dag series te kijken.,
54,"Abel Nee, maar die series zijn gewoon superspannend.",
55,Ze zijn echt verslavend.,
56,"En je hoeft even helemaal aan niets te denken, alleen maar te kijken.",
57,Echt ontspannen vind ik dat.,
58,Dan heb ik echt even rust.,
59,Maar wat doe jij dan als je vrij bent?,
60,"Rhana O, in het weekend ga ik meestal sporten.",
61,Of ik drink koffie met vriendinnen of ik ga gewoon even de stad in.,
62,"Abel Ja, ja... dat is ook leuk natuurlijk.",
63,"Maar goed, zullen we dan het journaal kijken?",
64,Er is trouwens ook voetbal op tv...,
65,"Rhana O, sport vind ik wel leuk.",
66,Ajax-PSV toch vanavond?,
67,Ik ben benieuwd wie er gaat winnen.,
68,"Abel Oké, gezellig.",
69,Voor welk doel gebruiken mensen sociale media?,
70,Sociale media zijn bij de hele Nederlandse bevolking populair.,
71,"Jongeren, mensen van middelbare leeftijd en ouderen gebruiken sociale media.",
72,Dat doen ze vooral om contact te maken.,
73,Zestig procent van de gebruikers heeft dankzij sociale media meer contact met vrienden en familie.,
74,Daarnaast gebruiken ze sociale media om nieuws te volgen.,
75,Of ze doen dat om tweedehands spullen en koopjes te zoeken.,
76,"Een deel van de gebruikers zoekt op sociale media naar evenementen, zoals concerten, festivals of speciale feestdagen.",
77,Tot slot willen mensen via sociale media volgen wat andere mensen doen.,
78,Hoeveel tijd besteden gebruikers aan sociale media?,
79,De meeste gebruikers besteden minder dan een uur per dag aan sociale media.,
